     t(s),    xB(m),    yB(m),    zB(m),  uB(m/s),  vB(m/s),  wB(m/s),       q0,       q1,       q2,       q3, p(rad/s), q(rad/s), r(rad/s)
   0.0000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.1000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.2000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.3000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.4000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.5000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.6000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.7000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.8000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   0.9000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   1.0000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
   1.1000,   0.0000,   0.0000,   1.8000,   0.0000,   0.0000,   0.0000,   1.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000
